"","s0"
"(Intercept)",0.474828471390583
"(Intercept)",1
"abil",1
"abl",1
"absolut",1
"absurd",0.502922145713986
"acc",0.799027010684143
"accept",1
"access",1
"accid",1
"accident",1
"accomplish",2.52430184941304
"accord",1
"account",1
"achiev",1
"acknowledg",1
"across",1
"act",1
"action",1
"activ",1.8607153723194
"actual",1
"add",1
"addict",7.33764328206219
"addit",1.57749629948923
"address",1
"adhd",1
"adjust",1
"ador",1
"advanc",1
"adveis",0.811651669305104
"advic",1
"advis",1
"affect",1
"afford",1
"afterday",1
"age",1
"agenda",2.39388886856997
"aggrav",1
"ago",1
"alarm",0.877054901342076
"ale",1
"alexa",0.961188941784804
"allow",0.725064186776103
"almost",0.632864431933633
"alon",1
"along",1
"alot",1
"alreadi",0.799752074038571
"alright",1.11145451307307
"also",1
"altern",1
"although",1
"alway",0.946370589236153
"amaz",4.49043373638656
"amend",1.18784698477282
"amin",1
"amount",0.979414082755379
"analog",1
"andor",1
"android",1
"anim",1
"announc",1
"annoy",1
"anoth",0.884993679471587
"answer",1
"anydo",1
"anymor",1
"anyon",1
"anyth",0.573562668568995
"anytim",1
"anyway",1
"anywher",1
"apa",1
"app",0.923264783183463
"appar",1
"appbut",1
"appeal",1.23574135520265
"appear",1
"appi",1
"appit",1
"appl",1
"applic",1.67041689478982
"appoint",1
"appreci",1
"approach",1
"appstar",1
"area",1
"arent",0.712780205213525
"around",1
"arrang",1
"asap",0.61433970307206
"asid",2.43068262279239
"ask",1
"aspect",1
"asset",1
"assign",1
"assist",1
"associ",1
"astar",1
"atleast",0.772979490765526
"attempt",0.722156808906648
"attent",1
"attract",1
"audio",1
"auto",1
"automat",1
"avail",0.736872007234299
"away",1
"awesom",1.52233806973526
"ayear",0.994574327987386
"back",1
"background",1
"bad",0.689490660375471
"bank",1
"bar",1
"bare",1
"base",1
"basic",0.719570266554092
"batteri",1
"beauti",1
"becam",1
"becom",1
"beep",1
"beg",1
"begin",1
"behaviour",1
"behind",1
"believ",1
"benefit",1
"besid",1
"best",4.08390770058516
"bestar",1
"beta",1
"better",1
"beyond",1
"big",0.567021883984184
"bihday",1
"bill",1
"bit",1
"bite",1
"black",1
"blacklist",1
"bland",1
"blank",4.91228612351633
"block",1
"blue",1
"boost",1
"booster",1
"bore",1
"bot",0.685405392631534
"bother",0.865595869078917
"bottom",1
"bought",1
"box",1
"`break`",1
"bright",1
"brilliant",3.23270014339613
"bring",1
"broke",1
"broken",1
"brought",1
"browser",1
"budget",1
"bug",1
"buggi",1
"build",1
"bummer",1
"bunch",1
"bush",1
"busi",1
"button",1
"buy",1
"bypass",1
"cach",1
"cal",1
"caland",1
"calcul",1
"calend",1
"calendar",1
"call",1
"calm",1
"came",1
"can",1.14056705240012
"cancel",1
"cant",0.768023973039883
"card",0.927628233039031
"care",1
"case",0.319442410850087
"cash",1
"cat",1
"catch",1
"categor",1
"categori",1
"caus",2.76919555910188
"ceain",1
"censorship",1
"challeng",1
"chanc",1
"chang",0.793603939679133
"channel",0.227112014407277
"charg",1
"chat",2.19152222684879
"cheap",1
"cheaper",1
"check",0.788022462774355
"checklist",1
"children",1.35695275312144
"choic",1
"choos",1
"chore",1
"chose",1
"christma",1
"chrome",1
"chronolog",0.71982598575928
"circl",1
"claim",1
"class",0.706989022410695
"clean",1
"clear",1
"click",1
"client",1
"clock",0.222185552147185
"close",1
"cloud",1
"clue",1
"clunki",1
"clutter",1
"code",1
"coin",1
"collabor",0.960789727647049
"collect",1
"colleg",1
"color",1
"colour",1
"combin",1.5302329033081
"come",1
"comfoabl",1.34687487242779
"comment",1
"common",1
"compani",1
"companion",1
"compar",0.730793746657903
"complain",1.47647736138468
"complaint",1
"complet",1
"complex",1
"complic",0.535028586512822
"compromis",1
"comput",2.08903481208525
"concentr",1.80026223197868
"concept",1
"concern",1
"confid",1
"confirm",1
"confus",1
"connect",1
"consequ",1
"consid",1
"consider",1
"consist",1
"constant",1
"consult",1
"contact",1
"contain",1
"content",0.746548438509932
"continu",1
"contribut",1
"control",1
"conveni",1
"cool",1
"coordin",2.12743863614
"copi",1
"core",1
"correct",1
"cost",0.899910377350601
"couldnt",1
"couldv",0.800330292930161
"count",1
"countdown",1
"counter",1
"countri",1
"coupl",1
"cours",1
"covid",1
"crash",0.983795649302319
"creat",1
"creativ",2.7512266876409
"creator",1
"credit",1
"critic",1
"cross",0.617474202602961
"crucial",1
"cumbersom",1
"currenc",1
"current",1
"custom",1
"customis",0.859843365626674
"customiz",1
"cute",1
"cuz",1
"daili",1.08156204789703
"dailyweeklymonth",1
"dark",1.55920540692038
"data",1
"date",0.787759769669804
"datetim",1
"day",1
"deal",1
"dealbreak",1
"debit",0.824952446740929
"deceiv",1
"decemb",1
"decent",1
"decept",1
"decid",1
